,HOME,AWAY,PER,TS%,TRB%,TOV%,OWS,DWS,VORP,Result
559,Dallas Mavericks,Golden State Warriors,-0.011921791,-0.006256897,-0.039253668,-0.260044894,0.225252613,-0.212144152,0.053631151,1
560,Indiana Pacers,Brooklyn Nets,-0.025991613,0.009614883,-0.010128154,-0.082770729,0.276163551,0.629087202,0.527409528,0
561,Milwaukee Bucks,Toronto Raptors,0.017929002,0.050612255,0.008104342,0.025531843,0.110864194,-0.308981571,0.138865068,0
562,Minnesota Timberwolves,Oklahoma City Thunder,0.14912361,0.071671095,0.01045552,0.012066502,1.124779315,0.406109426,1.07200909,1
563,Denver Nuggets,Utah Jazz,-0.043672365,-0.015948827,-0.032520932,-0.013812901,-0.125028419,-0.2133465,-0.081686767,0
564,Portland Trail Blazers,Miami Heat,0.025296711,-0.001678279,-0.007806277,-0.043852691,0.232567775,-0.323522174,0.099315323,0
565,Sacramento Kings,Atlanta Hawks,-0.118377495,-0.019795048,-0.0294741,0.200447939,-0.929817947,-0.192172683,-0.868657034,0
566,New York Knicks,Boston Celtics,-0.105495372,-0.043924641,-0.005214625,-0.027772052,-0.51179981,-0.463438003,-0.94346389,1
567,Memphis Grizzlies,Detroit Pistons,0.220164254,0.034845969,0.102605149,-0.114554338,0.981295972,0.646735173,1.237667807,1
568,New Orleans Pelicans,Golden State Warriors,-0.01370334,-0.039764345,0.0061068,-0.144252591,-0.12041663,-0.705868832,-0.630691032,1
569,Phoenix Suns,Los Angeles Clippers,0.098887238,0.007841632,0.04154776,-0.074283486,0.769205472,0.488137666,1.113400626,1
570,Philadelphia 76ers,San Antonio Spurs,0.022645441,0.025875645,-0.005248473,0.007801158,0.402194083,0.223849087,0.392481406,1
571,Brooklyn Nets,Milwaukee Bucks,-0.023704804,-0.0035803,-0.025507306,0.072911745,-0.454265089,-0.335339536,-0.644080547,0
572,Toronto Raptors,Utah Jazz,-0.040362908,-0.091481749,-0.033996102,-0.173499189,-0.248042256,0.074030283,-0.138923538,1
573,Chicago Bulls,Washington Wizards,0.037454965,0.010448583,-0.003707628,-0.008637364,0.624127035,0.212940512,0.675118109,1
574,Houston Rockets,Dallas Mavericks,-0.104242326,-0.017413087,-0.034252236,0.257385291,-0.682459303,-0.898781662,-1.298096038,0
575,Oklahoma City Thunder,Minnesota Timberwolves,-0.14912361,-0.071671095,-0.01045552,-0.012066502,-1.124779315,-0.406109426,-1.07200909,0
576,Denver Nuggets,Sacramento Kings,0.075684325,0.033461344,0.050536193,0.003590872,0.76276813,0.56914469,1.086431568,1
577,Los Angeles Lakers,Atlanta Hawks,-0.088709269,-0.013612345,-0.02023711,0.191104272,-0.877047793,0.162198305,-0.528613026,1
578,Portland Trail Blazers,Cleveland Cavaliers,-0.018077549,-0.002409517,-0.033425736,0.01048614,-0.329992786,-0.401887155,-0.414197955,0
579,Los Angeles Clippers,Memphis Grizzlies,-0.121378743,0.037768868,-0.100928911,0.077385711,-0.578503729,-0.225407456,-0.778117009,0
580,Charlotte Hornets,Milwaukee Bucks,0.002778597,0.012568637,-0.047560088,0.085009647,-0.039820376,-0.058821361,-0.2795232,1
581,Detroit Pistons,Orlando Magic,0.02491743,-0.007459247,-0.0047746,-0.004339329,0.038274481,-0.229717171,-0.071157384,1
582,Indiana Pacers,Utah Jazz,-0.196504587,-0.108668597,-0.088882531,-0.02089012,-1.280813664,-0.567523863,-1.348131315,1
583,Boston Celtics,New York Knicks,0.105495372,0.043924641,0.005214625,0.027772052,0.51179981,0.463438003,0.94346389,1
584,Phoenix Suns,Miami Heat,0.070137238,-0.01394158,-0.020943878,-0.162382023,0.248780245,0.231765846,0.405822199,0
585,Brooklyn Nets,San Antonio Spurs,0.00497109,0.018148426,0.015711572,0.052233258,0.051770632,-0.247052842,-0.010339357,1
586,Los Angeles Clippers,Atlanta Hawks,-0.096739881,-0.006438637,-0.033623268,0.159792965,-0.920042819,0.444122361,-0.589119216,1
587,Orlando Magic,Washington Wizards,-0.138411413,-0.061683817,-0.020852438,0.050969054,-0.372322327,0.281143311,-0.135264321,0
588,Toronto Raptors,New Orleans Pelicans,0.033548964,-0.02313939,-0.01782935,-0.131465162,0.412906587,0.508958585,0.662128134,1
589,Houston Rockets,Minnesota Timberwolves,-0.132588453,-0.009967928,-0.025343623,0.130127833,-0.67371995,-0.686590665,-1.122156433,0
590,Oklahoma City Thunder,Denver Nuggets,-0.149235441,-0.098002338,-0.048370421,-0.028822473,-1.323769849,-0.346157545,-1.282991417,0
591,Dallas Mavericks,Chicago Bulls,-0.026574684,-0.005757961,0.005435901,-0.081669121,0.007359183,0.464805869,0.349862012,1
592,Golden State Warriors,Cleveland Cavaliers,0.011402383,0.012239937,0.018120847,0.139452144,-0.035498604,0.297173577,0.243515732,1
593,Portland Trail Blazers,Sacramento Kings,0.059148158,0.020832157,0.060783573,0.119622337,0.347264336,1.05343172,0.997757695,1
594,Los Angeles Lakers,Memphis Grizzlies,-0.113348131,0.03059516,-0.087542753,0.108697018,-0.535508703,-0.507331512,-0.717610819,0
595,Charlotte Hornets,Milwaukee Bucks,0.002778597,0.012568637,-0.047560088,0.085009647,-0.039820376,-0.058821361,-0.2795232,1
596,Detroit Pistons,Utah Jazz,-0.196504587,-0.108668597,-0.088882531,-0.02089012,-1.280813664,-0.567523863,-1.348131315,1
597,Boston Celtics,Indiana Pacers,-0.0092301,-0.008409678,-0.019854677,-0.037560492,-0.242614794,0.482491315,0.2749236,1
598,New York Knicks,San Antonio Spurs,-0.063615672,0.010263901,0.042041336,0.061956315,-0.111200821,0.342291294,-0.03474063,1
599,Houston Rockets,Philadelphia 76ers,-0.14790829,-0.015525423,-0.023420345,0.219046662,-0.756719203,-0.740596389,-1.173507273,0
600,Portland Trail Blazers,Brooklyn Nets,-0.130233939,-0.007798204,-0.04438039,0.174614562,-0.406295752,-0.26969446,-0.77068651,1
